Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
89	-4673.2905	2273.319	-1664.4425	-9518.035	-8343.438	2423.8381	-3923.9941	-11696.224	20.0	20.0	444999	-23540.324	7827.2515	-14988.365	-41920.766	-23540.29	7827.307	-14969.13	-41918.984	23383.389	69663.9	4307.566917896271
90	-4523.103	2268.8801	-1715.165	-9369.825	-5954.689	3519.905	-2237.692	-11141.416	20.0	20.0	449999	-23486.328	7796.7207	-14978.554	-41784.04	-23486.326	7796.7817	-14954.475	-41789.355	23328.004	70507.15	4336.715456008911
91	-4570.493	2320.6782	-1755.5247	-9237.405	-6040.741	2251.5007	-3150.2244	-11061.95	20.0	20.0	454999	-23422.727	7759.757	-14936.707	-41674.863	-23422.719	7759.818	-14906.782	-41688.887	23270.332	71056.46	5320.327315092087
92	-4817.046	2252.8206	-1785.0963	-9466.644	-9236.44	2294.7073	-4841.239	-11565.975	20.0	20.0	459999	-23355.924	7723.44	-14891.111	-41562.395	-23355.912	7723.4937	-14852.592	-41553.242	23204.139	73749.05	5364.027544021606
93	-4558.793	2286.8567	-1718.9426	-9591.086	-7136.745	3123.6155	-2253.009	-11642.266	20.0	20.0	464999	-23295.646	7690.3965	-14835.859	-41459.42	-23295.627	7690.491	-14780.604	-41459.227	23144.852	67274.414	5396.391366958618
94	-4469.6655	2220.0742	-1634.8546	-9725.594	-6147.3237	3177.4329	-2049.9946	-10720.237	20.0	20.0	469999	-23228.178	7655.9077	-14834.131	-41392.832	-23228.12	7655.9927	-14845.52	-41413.95	23083.129	70102.164	5426.194797039032
95	-4678.4736	2280.494	-1682.6932	-9219.501	-8871.17	2389.8174	-4597.936	-11905.271	20.0	20.0	474999	-23178.195	7628.2026	-14741.789	-41249.16	-23178.164	7628.2515	-14812.726	-41248.93	23033.338	69722.305	5456.341793060303
96	-4241.044	2191.5845	-1662.1251	-9560.112	-6923.8877	3865.8083	-2097.2058	-11863.725	20.0	20.0	479999	-23106.62	7598.325	-14764.248	-41150.184	-23106.6	7598.3784	-14759.688	-41169.793	22972.582	70759.84	5486.909598112106
97	-4644.717	2209.8347	-1698.861	-9509.992	-6820.3564	2709.5227	-3193.419	-11034.764	20.0	20.0	484999	-23040.531	7570.7744	-14643.827	-41064.7	-23040.504	7570.844	-14655.164	-41080.312	22908.582	69051.21	5516.89988899231
98	-4467.038	2158.5984	-1752.3302	-9308.508	-7021.7554	2659.3198	-3477.2363	-11146.704	20.0	20.0	489999	-22966.188	7537.2427	-14716.017	-40946.984	-22966.164	7537.3115	-14680.223	-40962.434	22830.395	68425.73	5547.485813140869
99	-4849.669	2376.4805	-1685.2316	-9330.54	-7717.7188	2106.1387	-3590.2556	-11571.983	20.0	20.0	494999	-22902.598	7505.6685	-14678.197	-40841.93	-22902.574	7505.7324	-14662.107	-40858.46	22765.541	68253.234	5579.0599629879
100	-4326.889	2214.128	-1711.0134	-9151.106	-8526.358	2410.291	-3748.2227	-11483.636	20.0	20.0	499999	-22852.342	7483.7783	-14499.115	-40737.74	-22852.324	7483.8555	-14590.387	-40757.57	22725.766	64093.07	5609.832972049713
101	-4624.587	2370.1506	-1711.547	-9380.607	-6246.1904	2596.8357	-2051.5518	-10806.8545	20.0	20.0	504999	-22785.941	7456.19	-14507.629	-40632.496	-22785.914	7456.237	-14509.671	-40642.406	22655.1	67432.805	5640.155793905258
102	-4542.0654	2320.355	-1838.0906	-9358.964	-7384.8647	2584.905	-2367.1394	-11650.803	20.0	20.0	509999	-22711.56	7432.2773	-14457.525	-40522.74	-22711.512	7432.373	-14489.584	-40556.715	22584.771	66486.58	5670.651002883911
